video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_video,TTitle_thi,TTitle_music,TTitle_show,TTitle_channel,TTitle_wa,TTitle_new,TTitle_can,TTitle_us,TTitle_live,TDesc_offici,TDesc_2018,TDesc_video,TDesc_trailer,TDesc_live,TDesc_london,TDesc_new,TDesc_music,TDesc_ft,TDesc_2,TTags_none,TTags_music,TTags_funny,TTags_comedy,TTags_london,TTags_2018,TTags_video,TTags_interview,TTags_uk,TTags_vlog,lightRed,lightGreen,lightBlue,sobelFilter,TThumbText_offici,TThumbText_trailer,TThumbText_live,TThumbText_vevo,TThumbText_news,TThumbText_mum,TThumbText_jimmi,TThumbText_vocal,TThumbText_coach,TThumbText_beatdown,numOfFaces
0PW9MWDWLH8,150117,11143,64,899,False,False,False,43,0.5348837209302326,False,False,3,593,0.08768971332209108,True,True,False,64,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,173.28767746913582,133.4948611111111,148.32308641975308,0.11593248894742303,False,False,False,False,False,False,False,False,False,False,2
0RxhuBwCwMs,665386,8098,436,646,False,False,False,43,0.16279069767441856,False,False,3,2010,0.1393034825870647,True,True,False,199,28,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,58.90876543209877,48.63739969135803,47.06098765432099,0.06884679943021109,False,False,False,False,False,False,False,False,False,False,2
0SLu6i6Rm2g,73474,503,172,289,False,False,False,95,0.2210526315789474,False,False,6,1509,0.16500994035785288,True,True,False,198,30,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125.43269290123457,101.46679012345679,83.30027777777778,0.106822162579631,False,False,False,False,False,False,False,False,False,True,2
0URpDxIjZrQ,6095300,164449,4190,18665,False,False,False,34,0.11764705882352944,False,False,1,1545,0.062135922330097126,True,True,False,154,25,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,97.91791666666667,77.03150462962962,60.33583333333333,0.07780358586527465,True,True,False,False,False,False,False,False,False,False,1
0VQysq26ozE,23274,481,52,86,False,False,False,40,0.15000000000000002,False,False,5,2604,0.07258064516129037,True,True,False,223,33,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,176.2799537037037,159.26434413580247,116.16797067901234,0.12161370982250067,False,False,False,False,False,False,False,False,False,False,0
0VsgQmCPgoI,103429,4547,80,444,False,False,False,26,0.8076923076923077,False,False,2,1804,0.20454545454545459,True,True,False,338,33,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,0
0W86V2KcqiU,778276,85086,544,5692,False,False,False,34,0.4411764705882353,False,False,2,1780,0.15617977528089888,True,True,False,165,23,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,0
0XElmYomloA,58053323,202514,8712,3509,False,False,False,53,0.15094339622641506,False,False,4,3408,0.0425469483568075,True,True,False,251,40,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75.74892746913581,61.786759259259256,41.272283950617286,0.06681904285123529,False,False,False,False,False,False,False,False,False,False,1
0XR-FwfdOos,14236,47,60,55,False,False,False,61,0.049180327868852514,False,False,9,123,0.04878048780487809,False,False,False,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,142.5119212962963,125.5302237654321,133.31274691358024,0.05786364353850282,False,False,False,False,False,False,False,False,False,False,1
0XuOkYlUWIs,8725060,253421,9949,26527,False,False,False,58,0.13793103448275867,False,False,8,1271,0.10149488591660105,True,True,False,157,32,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,96.87243827160493,88.94789351851851,76.06555555555556,0.06602658110532197,True,False,False,False,False,False,False,False,False,False,1
