video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_2018,TTitle_trailer,TTitle_vs,TTitle_2017,TTitle_new,TTitle_live,TTitle_make,TTitle_ft,TDesc_video,TDesc_follow,TDesc_thi,TDesc_subscrib,TDesc_twitter,TDesc_facebook,TDesc_instagram,TDesc_watch,TDesc_get,TDesc_like,TTags_funny,TTags_comedy,TTags_humor,TTags_music,TTags_[none],TTags_interview,TTags_comedian,TTags_celebrity,TTags_television,TTags_news
02e9klKUN0Y,586498,1367,117,169,False,False,False,40,0.32499999999999996,False,False,1,71,0.14084507042253525,False,False,False,6,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
032BPsxhreM,54340,154,136,120,False,False,False,78,0.10256410256410253,False,False,7,2085,0.06570743405275781,True,True,False,231,20,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
04aPsalAZQI,219193,9496,263,990,False,False,False,28,0.1428571428571429,False,False,4,1147,0.10374891020052313,True,True,False,139,36,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,True,False,True,True,False,True,False,False,True,False
069D0NmW39o,1155622,16060,883,1018,False,False,False,57,0.1228070175438597,False,False,8,420,0.08333333333333337,True,True,False,41,31,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
07JQ4WZJIbg,89872,431,90,93,False,False,False,67,0.20895522388059706,True,False,8,470,0.04893617021276597,True,True,False,46,19,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
07S_Glj3uYs,1509716,77243,1665,4279,False,False,False,38,0.1578947368421053,False,False,4,1775,0.05239436619718307,True,True,False,155,45,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
07Um1PY_P4o,461945,5063,589,710,False,False,False,28,0.4642857142857143,False,False,1,3600,0.07444444444444442,True,True,False,375,2,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
07bTt0BTi-U,729500,22885,751,3235,False,False,False,50,0.19999999999999996,False,False,3,265,0.1622641509433962,True,True,False,35,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
08OhPK2BVIU,4625928,377131,4362,18752,False,False,False,36,0.8055555555555556,False,False,2,1130,0.16637168141592917,True,True,True,114,29,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
08l0K3UyUXE,584861,4221,772,1169,False,False,False,77,0.1298701298701299,False,False,3,450,0.033333333333333326,False,False,False,31,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
08nkwgZIE4I,651036,23338,442,1101,False,False,False,22,0.13636363636363635,False,False,5,622,0.08038585209003213,True,True,False,105,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
08vIy0y1N9I,2757653,86377,1242,5212,False,False,False,27,0.37037037037037035,False,False,0,160,0.05625000000000002,True,True,True,17,17,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
0ANDjPQPS_Q,27408,2993,87,516,False,False,False,51,0.47058823529411764,False,False,2,429,0.09090909090909094,True,True,True,57,8,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0AWUKX5D_ak,17732,174,2,11,False,False,False,57,0.42105263157894735,False,False,5,478,0.043933054393305415,False,False,False,35,23,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0C3pC-uonZU,32558,1217,78,115,False,False,False,71,0.18309859154929575,False,False,5,664,0.07078313253012047,True,True,False,95,30,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
0DVNtFA-_wA,126986,2873,1474,352,False,False,False,45,0.1333333333333333,False,False,4,848,0.04245283018867929,True,True,False,253,10,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0DpCDxoj_Xg,690533,43217,304,1617,False,False,False,47,0.17021276595744683,False,False,5,1409,0.09013484740951028,True,True,False,146,26,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False
0EPY1CKFecs,2958978,66699,6499,9692,False,False,False,38,0.1578947368421053,False,False,3,416,0.08894230769230771,True,True,False,52,38,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False
0EQuVfP-vXs,198160,523,339,361,False,False,False,66,0.16666666666666663,False,False,2,214,0.07476635514018692,False,False,False,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0ETrC_c14ms,685653,5690,212,1135,False,False,False,90,0.12222222222222223,False,False,6,966,0.14078674948240166,True,True,False,135,21,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
0EbFotkXOiA,385997,2695,537,1337,False,False,False,51,0.1568627450980392,False,False,4,4,0.25,False,False,False,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0FBYDz1_EPs,159410,631,160,190,False,False,False,70,0.18571428571428572,False,False,5,4,0.0,False,False,False,1,17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
