,text,lightRed,lightGreen,lightBlue,sobelFilter,TThumbText_news,TThumbText_offici,TThumbText_origin,TThumbText_jimmi,TThumbText_trailer,TThumbText_first,TThumbText_watch,TThumbText_happen,TThumbText_vevo,TThumbText_movi
1957,[],113.2129475308642,110.51340277777778,106.72483024691358,0.070030477541249,False,False,False,False,False,False,False,False,False,False
1958,[],142.82253086419752,125.50480709876544,115.35810185185186,0.066584095389586,False,False,False,False,False,False,False,False,False,False
1959,"['blame', 'bryan', 'leagu', 'fail']",104.73743827160494,98.38467592592592,101.6391975308642,0.1504137711336046,False,False,False,False,False,False,False,False,False,False
1960,[],125.18968364197532,137.87648919753087,136.0719135802469,0.0927860505754249,False,False,False,False,False,False,False,False,False,False
1961,[],72.73280864197531,64.29237654320988,57.81130401234568,0.0778675378759938,False,False,False,False,False,False,False,False,False,False
1962,[],172.5013888888889,119.2844212962963,106.98808641975307,0.1171189719837092,False,False,False,False,False,False,False,False,False,False
1963,[],108.90941358024692,93.53662037037036,72.12942901234568,0.0966877601362901,False,False,False,False,False,False,False,False,False,False
1964,[],169.00435185185185,178.42378086419754,180.21131944444448,0.0962540549153465,False,False,False,False,False,False,False,False,False,False
1965,"['hostil', 'bad', 'lip', 'back', 'hill']",117.4614274691358,120.26189043209877,122.12935956790125,0.115027834766669,False,False,False,False,False,False,False,False,False,False
1966,[],114.03242283950615,110.26733024691356,108.01479938271603,0.0594435571686717,False,False,False,False,False,False,False,False,False,False
1967,[],59.29269290123457,41.39246141975308,53.25667438271605,0.0662178518707876,False,False,False,False,False,False,False,False,False,False
1968,[],13.99104938271605,27.87010802469136,55.856442901234566,0.0638725156790136,False,False,False,False,False,False,False,False,False,False
1969,[],98.72,93.69320216049384,149.74809413580246,0.1448260625704371,False,False,False,False,False,False,False,False,False,False
1970,[],147.81878086419752,129.93641203703703,120.56003086419751,0.0608717425644552,False,False,False,False,False,False,False,False,False,False
1971,[],101.28844135802468,88.2629012345679,87.40240740740741,0.1115526568996444,False,False,False,False,False,False,False,False,False,False
1972,[],155.1778086419753,78.05065586419754,87.95610339506173,0.1905345775877905,False,False,False,False,False,False,False,False,False,False
1973,[],78.94054012345678,42.93371913580247,69.09949074074073,0.1384873109384719,False,False,False,False,False,False,False,False,False,False
1974,[],88.68125771604939,62.27911265432099,82.56735339506173,0.083378903421982,False,False,False,False,False,False,False,False,False,False
1975,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
1976,[],122.70159722222222,124.62345679012346,108.76817901234568,0.1695090773544494,False,False,False,False,False,False,False,False,False,False
1977,[],72.67280864197531,67.2278163580247,62.177067901234565,0.0620301795984734,False,False,False,False,False,False,False,False,False,False
1978,"['pumpkin', 'diy']",114.54185185185185,94.64036265432098,80.34963734567901,0.0734402495151814,False,False,False,False,False,False,False,False,False,False
1979,[],135.66217592592594,116.1308024691358,113.07608024691358,0.0809609999821047,False,False,False,False,False,False,False,False,False,False
1980,[],122.88434413580246,97.62591049382716,100.17826388888888,0.1364514267173832,False,False,False,False,False,False,False,False,False,False
1981,[],94.1441898148148,83.15157407407408,75.1465586419753,0.0638963460192487,False,False,False,False,False,False,False,False,False,False
1982,[],125.16284722222224,98.73262345679012,111.30327160493827,0.0761292407334711,False,False,False,False,False,False,False,False,False,False
1983,[],143.95372685185183,82.60368827160494,81.59394290123457,0.2060538875708036,False,False,False,False,False,False,False,False,False,False
1984,[],177.1134413580247,151.22130401234568,89.65552469135802,0.1446931867210976,False,False,False,False,False,False,False,False,False,False
1985,[],29.900316358024693,32.94224537037037,51.00818672839506,0.072141928575,False,False,False,False,False,False,False,False,False,False
1986,[],154.9508024691358,147.5312422839506,142.60162808641977,0.0579593939567612,False,False,False,False,False,False,False,False,False,False
1987,['highlight'],81.14427469135802,79.4236188271605,90.24144290123456,0.1148891817863794,False,False,False,False,False,False,False,False,False,False
1988,[],177.9270910493827,156.31505401234568,159.6282947530864,0.0990840090075793,False,False,False,False,False,False,False,False,False,False
1989,[],146.41221450617283,149.29554783950618,162.66568672839506,0.0420062831394673,False,False,False,False,False,False,False,False,False,False
1990,[],170.92922067901233,130.84331790123457,116.12906635802467,0.1894422292757366,False,False,False,False,False,False,False,False,False,False
1991,[],164.3163348765432,144.20814043209876,135.6424537037037,0.0480076005152015,False,False,False,False,False,False,False,False,False,False
1992,"['1,000']",162.70710648148147,138.06672839506172,122.3904398148148,0.1500072806283943,False,False,False,False,False,False,False,False,False,False
1993,[],71.22405092592592,39.56418981481482,50.1375,0.0931475278206304,False,False,False,False,False,False,False,False,False,False
1994,[],72.78350308641976,46.83554012345679,53.19014660493827,0.0702269433156646,False,False,False,False,False,False,False,False,False,False
1995,[],13.454336419753089,10.380570987654322,14.768726851851852,0.0211713798095771,False,False,False,False,False,False,False,False,False,False
1996,[],164.35458333333332,159.92461419753087,148.9191512345679,0.0832480814080674,False,False,False,False,False,False,False,False,False,False
1997,[],160.89110339506172,125.48006172839506,90.03662808641975,0.1431496604355653,False,False,False,False,False,False,False,False,False,False
1998,[],108.78458333333332,118.64391975308642,127.09632716049384,0.1108046852120065,False,False,False,False,False,False,False,False,False,False
1999,['news'],109.3595601851852,78.49925154320988,56.98935185185185,0.1031929403070637,True,False,False,False,False,False,False,False,False,False
2000,[],138.90029320987654,118.0455324074074,107.18242283950616,0.0850522522891051,False,False,False,False,False,False,False,False,False,False
2001,[],106.10583333333334,92.4561574074074,69.55591049382716,0.0715589978988662,False,False,False,False,False,False,False,False,False,False
2002,[],201.3270601851852,153.8742052469136,105.56065586419751,0.1522869950893534,False,False,False,False,False,False,False,False,False,False
2003,[],65.95838734567901,56.12137345679013,67.00364197530864,0.0756093171029231,False,False,False,False,False,False,False,False,False,False
2004,"['megyn', 'kelli', 'today']",153.04457561728395,138.02055555555555,131.54057098765432,0.1063494858154488,False,False,False,False,False,False,False,False,False,False
2005,['secret'],80.98467592592593,45.46829475308642,49.60567129629629,0.1097983066629296,False,False,False,False,False,False,False,False,False,False
2006,[],138.52838734567902,154.5270061728395,161.07243055555554,0.1123664571238044,False,False,False,False,False,False,False,False,False,False
2007,[],172.67770833333333,170.37297067901235,174.6491512345679,0.0580972919358477,False,False,False,False,False,False,False,False,False,False
2008,[],130.08864197530863,91.71819444444444,64.77662808641975,0.1247708213365272,False,False,False,False,False,False,False,False,False,False
2009,['fri'],135.1362962962963,117.41420524691358,98.09831790123457,0.072317761891316,False,False,False,False,False,False,False,False,False,False
2010,[],100.6816975308642,81.63633487654322,52.56621141975309,0.1130134953220586,False,False,False,False,False,False,False,False,False,False
2011,[],113.28307870370372,99.46663580246914,90.73052469135804,0.1066317245504961,False,False,False,False,False,False,False,False,False,False
2012,[],96.70927469135802,42.40068672839506,51.70391203703704,0.1194891748470287,False,False,False,False,False,False,False,False,False,False
2013,['offici'],89.94666666666667,80.14122685185185,69.08636574074075,0.0639843959155762,False,True,False,False,False,False,False,False,False,False
2014,[],96.2626774691358,96.61566358024692,99.63453703703703,0.0795362316052707,False,False,False,False,False,False,False,False,False,False
2015,[],78.97354938271604,73.74989197530864,120.08159722222224,0.1287324049590978,False,False,False,False,False,False,False,False,False,False
