video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_trailer,TTitle_ft,TTitle_2018,TTitle_music,TTitle_new,TTitle_war,TTitle_live,TTitle_2017,TDesc_video,TDesc_show,TDesc_thi,TDesc_music,TDesc_live,TDesc_new,TDesc_jimmi,TDesc_hi,TDesc_twitter,TDesc_late,TTags_funny,TTags_comedy,TTags_music,TTags_[none],TTags_interview,TTags_humor,TTags_trailer,TTags_video,TTags_late night,TTags_comedian
14G7Qw5DC9M,772049,7135,659,508,False,False,False,47,0.7659574468085106,False,False,0,1142,0.04028021015761818,True,True,False,293,36,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14G7U6pTcFk,102608,583,46,98,False,False,False,25,0.16000000000000003,False,False,2,34,0.23529411764705888,False,False,False,3,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15aTCG3as6Q,971601,45286,785,3568,False,False,False,74,0.4054054054054054,False,False,6,1933,0.05483704086911534,True,True,False,347,21,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17wT_2StvnM,249023,1827,264,1622,False,False,False,95,0.8210526315789474,False,False,2,402,0.05970149253731338,False,False,False,33,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18RqtFuaNe8,1877518,16521,1447,1056,False,False,False,48,0.08333333333333337,True,True,5,1256,0.11783439490445857,True,True,True,147,22,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
18thGW1YjRM,305868,2582,241,0,True,False,False,31,0.16129032258064513,False,False,1,710,0.05211267605633807,True,True,False,85,15,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Aoc-cd9eYs,42485490,801238,37192,39398,False,False,True,61,0.16393442622950816,False,False,4,571,0.05078809106830118,True,True,False,55,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1EC8lBwroOc,4728241,51796,1231,2518,False,False,False,31,0.16129032258064513,False,False,3,548,0.04744525547445255,True,True,False,85,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1HcoMNJUiM0,330869,5045,200,553,False,False,False,65,0.10769230769230764,True,False,8,1314,0.1278538812785388,True,True,False,144,15,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
1KVBFtSuCm0,601175,430,59,43,False,False,False,43,0.16279069767441856,False,False,3,742,0.03638814016172509,True,True,False,141,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1LWbRkt490A,32124,315,22,41,False,False,False,32,0.78125,False,False,2,103,0.07766990291262132,False,False,False,6,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Nu_oGucpDI,1516337,70745,1087,5708,False,False,False,34,0.2647058823529411,False,False,3,872,0.08600917431192656,True,True,False,121,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1R0Xgq1bxZI,367132,12521,2635,1546,False,False,False,37,0.1351351351351351,False,False,3,529,0.04914933837429114,True,True,True,71,18,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1SnWTW6YXbE,23237150,289848,6943,16137,False,False,False,59,0.13559322033898302,False,False,6,596,0.06375838926174493,True,True,False,99,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Wo6WEBhBBw,37743,1007,40,230,False,False,False,97,0.15463917525773196,False,False,3,850,0.08588235294117652,True,True,True,127,17,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1XKSo2mFC6c,13592652,499673,26397,0,True,False,False,33,0.1515151515151515,False,False,3,235,0.04680851063829783,False,False,False,22,33,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Xr-3eDioL8,290757,9084,122,697,False,False,False,80,0.08750000000000002,False,False,12,356,0.050561797752809,True,True,False,30,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1XsKiDXWtyE,2133127,123421,839,5798,False,False,False,56,0.3214285714285714,False,False,5,191,0.2094240837696335,True,True,False,26,13,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
